"","country","countryname","sentence_id","text","date","party","partyname","text_id"
"2613",51,"United Kingdom",1035,"Welsh culture, products and services are renowned around the world – from the thriving tourism sector and highest-quality steel to Welsh Lamb and semi-conductors.",202407,51320,"Labour Party","51320_202407_1035"
"2614",51,"United Kingdom",1036,"Labour will harness the UK’s diplomatic and trade networks, working with the Welsh Government to champion Wales across the world.",202407,51320,"Labour Party","51320_202407_1036"
"2615",51,"United Kingdom",1037,"With Labour, the Wales Office will once again become an advocate for Wales at home and abroad and facilitate closer collaboration between our governments.",202407,51320,"Labour Party","51320_202407_1037"
"2616",51,"United Kingdom",1038,"The Wales Office will ensure on issues under the competence of the UK Government the voice of Wales is properly heard.",202407,51320,"Labour Party","51320_202407_1038"
"2617",51,"United Kingdom",1039,"Northern Ireland",202407,51320,"Labour Party","51320_202407_1039"
"2618",51,"United Kingdom",1040,"Northern Ireland needs stability and long-term certainty after the challenges of recent years.",202407,51320,"Labour Party","51320_202407_1040"
"2619",51,"United Kingdom",1041,"Labour will work with the Executive and Assembly to improve public services and generate economic growth, and with all political parties and communities to ensure the stability of devolved government.",202407,51320,"Labour Party","51320_202407_1041"
"2620",51,"United Kingdom",1042,"Labour is committed to implementing the Windsor Framework in good faith and protecting the UK internal market.",202407,51320,"Labour Party","51320_202407_1042"
"2621",51,"United Kingdom",1043,"Northern Ireland’s economy has enormous strengths - with a highly skilled workforce, strong services, manufacturing and life sciences sectors, and great opportunities for inward investment.",202407,51320,"Labour Party","51320_202407_1043"
"2622",51,"United Kingdom",1044,"A Labour government will champion Northern Ireland around the world and work with the Executive to encourage more businesses to invest in Northern Ireland’s future.",202407,51320,"Labour Party","51320_202407_1044"
"2623",51,"United Kingdom",1045,"Labour is committed to taking forward discussions with the Executive about a fiscal framework for Northern Ireland.",202407,51320,"Labour Party","51320_202407_1045"
"2624",51,"United Kingdom",1046,"The Good Friday Agreement, and the peace and prosperity it has brought to Northern Ireland, is one of the proudest achievements of the last Labour government.",202407,51320,"Labour Party","51320_202407_1046"
"2625",51,"United Kingdom",1047,"As a guarantor of the Good Friday Agreement, a Labour government will uphold both the letter and the spirit of the Agreement, along with the principle of consent on which it rests.",202407,51320,"Labour Party","51320_202407_1047"
"2626",51,"United Kingdom",1048,"We will work with the Irish Government to strengthen the relationship between our two countries.",202407,51320,"Labour Party","51320_202407_1048"
"2627",51,"United Kingdom",1049,"The Legacy Act denies justice to the families and victims of the Troubles.",202407,51320,"Labour Party","51320_202407_1049"
"2628",51,"United Kingdom",1050,"Labour will repeal and replace it, by returning to the principles of the Stormont House Agreement, and seeking support from all communities in Northern Ireland.",202407,51320,"Labour Party","51320_202407_1050"
"2629",51,"United Kingdom",1051,"With Labour, Britain will once again be strong on the world stage, confident in the pursuit of our national interest, and progressive but realistic about the challenges we face.",202407,51320,"Labour Party","51320_202407_1051"
"2630",51,"United Kingdom",1052,"We will reconnect with allies and forge new partnerships to deliver security and prosperity at home and abroad.",202407,51320,"Labour Party","51320_202407_1052"
"2631",51,"United Kingdom",1053,"Over the last 14 years, the world has grown more volatile and insecure.",202407,51320,"Labour Party","51320_202407_1053"
"2632",51,"United Kingdom",1054,"War has returned to Europe for the first time in a generation, there is devastating violence in the Middle East, rapid technological change and the climate crisis are fuelling geopolitical tensions, and malign actors are seeking to divide us.",202407,51320,"Labour Party","51320_202407_1054"
"2633",51,"United Kingdom",1055,"This darkening global landscape demands a strong and connected Britain.",202407,51320,"Labour Party","51320_202407_1055"
"2634",51,"United Kingdom",1056,"Instead, chaotic Conservative foreign policy has weakened our alliances, squandered our climate leadership – a huge diplomatic opportunity – and undermined our reputation as upholders of international law.",202407,51320,"Labour Party","51320_202407_1056"
"2635",51,"United Kingdom",1057,"At home, Conservative attacks on our globally respected institutions – universities, courts and the BBC – have undermined our soft power, traditionally a source of great strength, and diminished our influence.",202407,51320,"Labour Party","51320_202407_1057"
"2636",51,"United Kingdom",1058,"This failure on the international stage has cost the British people.",202407,51320,"Labour Party","51320_202407_1058"
"2637",51,"United Kingdom",1059,"We are less secure, with families exposed to high energy bills and food prices as a result.",202407,51320,"Labour Party","51320_202407_1059"
"2638",51,"United Kingdom",1060,"Labour will turn the page and reverse this, reinvigorating alliances and forging new partnerships.",202407,51320,"Labour Party","51320_202407_1060"
"2639",51,"United Kingdom",1061,"Our commitment to NATO as the cornerstone of European and global security is unshakeable.",202407,51320,"Labour Party","51320_202407_1061"
"2640",51,"United Kingdom",1062,"We will be confident in our status outside of the EU, but a leading nation in Europe once again, with an improved and ambitious relationship with our European partners.",202407,51320,"Labour Party","51320_202407_1062"
"2641",51,"United Kingdom",1063,"We will once again be a good partner for international development, and a defender of the international rule of law.",202407,51320,"Labour Party","51320_202407_1063"
"2642",51,"United Kingdom",1064,"And we will return to the forefront of climate action by creating the green jobs of the future at home and driving forward the energy transition on the global stage.",202407,51320,"Labour Party","51320_202407_1064"
"2643",51,"United Kingdom",1065,"Britain will be a reliable partner, a dependable ally, and a good neighbour.",202407,51320,"Labour Party","51320_202407_1065"
"2644",51,"United Kingdom",1066,"An optimistic country at the start of an era of renewal.",202407,51320,"Labour Party","51320_202407_1066"
"2645",51,"United Kingdom",1067,"Rebuilding relationships",202407,51320,"Labour Party","51320_202407_1067"
"2646",51,"United Kingdom",1068,"Britain is always stronger when we work with others.",202407,51320,"Labour Party","51320_202407_1068"
"2647",51,"United Kingdom",1069,"The United States is an indispensable ally.",202407,51320,"Labour Party","51320_202407_1069"
"2648",51,"United Kingdom",1070,"Our special relationship is crucial for security and prosperity, and transcends whatever political parties and individuals are in office.",202407,51320,"Labour Party","51320_202407_1070"
"2649",51,"United Kingdom",1071,"We will continue to work with the United States on the basis of our shared values and common interests including on economic co- operation, defence and intelligence.",202407,51320,"Labour Party","51320_202407_1071"
"2650",51,"United Kingdom",1072,"With Labour, Britain will stay outside of the EU.",202407,51320,"Labour Party","51320_202407_1072"
"2651",51,"United Kingdom",1073,"But to sei􏰆e the opportunities ahead, we must make Brexit work.",202407,51320,"Labour Party","51320_202407_1073"
"2652",51,"United Kingdom",1074,"We will reset the relationship and seek to deepen ties with our European friends, neighbours and allies.",202407,51320,"Labour Party","51320_202407_1074"
"2653",51,"United Kingdom",1075,"That does not mean reopening the divisions of the past.",202407,51320,"Labour Party","51320_202407_1075"
"2654",51,"United Kingdom",1076,"There will be no return to the single market, the customs union, or freedom of movement.",202407,51320,"Labour Party","51320_202407_1076"
"2655",51,"United Kingdom",1077,"Instead, Labour will work to improve the UK’s trade and investment relationship with the EU, by tearing down unnecessary barriers to trade.",202407,51320,"Labour Party","51320_202407_1077"
"2656",51,"United Kingdom",1078,"We will seek to negotiate a veterinary agreement to prevent unnecessary border checks and help tackle the cost of food; help our touring artists; and secure a mutual recognition agreement for professional qualifications to help open up markets for UK service exporters.",202407,51320,"Labour Party","51320_202407_1078"
"2657",51,"United Kingdom",1079,"Labour will seek an ambitious new UK-EU security pact to strengthen co-operation on the threats we face.",202407,51320,"Labour Party","51320_202407_1079"
"2658",51,"United Kingdom",1080,"We will rebuild relationships with key European allies, including France and 􏰃ermany, through increased defence and security co-operation.",202407,51320,"Labour Party","51320_202407_1080"
"2659",51,"United Kingdom",1081,"We will seek new bilateral agreements and closer working with Joint Expeditionary Force partners.",202407,51320,"Labour Party","51320_202407_1081"
"2660",51,"United Kingdom",1082,"This will strengthen NATO and keep Britain safe.",202407,51320,"Labour Party","51320_202407_1082"
"2661",51,"United Kingdom",1083,"Multilateral institutions remain indispensable, but they are struggling under the strain of new global challenges.",202407,51320,"Labour Party","51320_202407_1083"
"2662",51,"United Kingdom",1084,"Labour will work with allies to build, strengthen and reform these institutions.",202407,51320,"Labour Party","51320_202407_1084"
"2663",51,"United Kingdom",1085,"We will use the UK’s unique position in NATO, the UN, G7, G20 and the Commonwealth to address the threats we face, and to uphold human rights and international law.",202407,51320,"Labour Party","51320_202407_1085"
"2664",51,"United Kingdom",1086,"Labour values international law because of the security it brings.",202407,51320,"Labour Party","51320_202407_1086"
"2665",51,"United Kingdom",1087,"Britain will unequivocally remain a member of the European Convention on Human Rights.",202407,51320,"Labour Party","51320_202407_1087"
"2666",51,"United Kingdom",1088,"Defending the UK’s security",202407,51320,"Labour Party","51320_202407_1088"
"2667",51,"United Kingdom",1089,"Labour’s first duty in government will be to keep our country safe.",202407,51320,"Labour Party","51320_202407_1089"
"2668",51,"United Kingdom",1090,"We will launch a Strategic Defence Review to assess the threats we face and the capabilities needed to address them.",202407,51320,"Labour Party","51320_202407_1090"
"2669",51,"United Kingdom",1091,"At the heart of our security are the men and women who serve and risk their lives for this country.",202407,51320,"Labour Party","51320_202407_1091"
"2670",51,"United Kingdom",1092,"We will strengthen support for our Armed Forces communities by putting the Armed Forces Covenant fully into law and establishing an independent Armed Forces Commissioner to improve service life.",202407,51320,"Labour Party","51320_202407_1092"
"2671",51,"United Kingdom",1093,"Labour will ensure veterans have access to the mental health, employment, and housing support and in other areas they need.",202407,51320,"Labour Party","51320_202407_1093"
"2672",51,"United Kingdom",1094,"We will also scrap visa fees for non-UK veterans who have served for four or more years, and their dependents.",202407,51320,"Labour Party","51320_202407_1094"
"2673",51,"United Kingdom",1095,"Strengthening Britain’s security requires a long-term partnership with our domestic defence industry.",202407,51320,"Labour Party","51320_202407_1095"
"2674",51,"United Kingdom",1096,"Labour will bring forward a defence industrial strategy aligning our security and economic priorities.",202407,51320,"Labour Party","51320_202407_1096"
"2675",51,"United Kingdom",1097,"We will ensure a strong defence sector and resilient supply chains, including steel, across the whole of the UK.",202407,51320,"Labour Party","51320_202407_1097"
"2676",51,"United Kingdom",1098,"We will establish long-term partnerships between business and government, promote innovation, and improve resilience.",202407,51320,"Labour Party","51320_202407_1098"
"2677",51,"United Kingdom",1099,"We will prioritise UK businesses for defence investment and will reform procurement to reduce waste.",202407,51320,"Labour Party","51320_202407_1099"
"2678",51,"United Kingdom",1100,"Labour will support industry to benefit from export opportunities, in line with a robust arms export regime committed to upholding international law.",202407,51320,"Labour Party","51320_202407_1100"
"2679",51,"United Kingdom",1101,"Strengthening our defences also requires stronger leadership, clearer accountability, faster delivery, less waste, and better value for money.",202407,51320,"Labour Party","51320_202407_1101"
"2680",51,"United Kingdom",1102,"Labour will establish a fully functioning military strategic headquarters and a national armaments director to create a strong defence centre capable of leading Britain in meeting the increasing threats we face.",202407,51320,"Labour Party","51320_202407_1102"
"2681",51,"United Kingdom",1103,"With Labour, the UK’s military, financial, diplomatic and political support for Ukraine will remain steadfast.",202407,51320,"Labour Party","51320_202407_1103"
"2682",51,"United Kingdom",1104,"Labour will support efforts to hold Putin’s Russia to account for its illegal war, backing calls for a Special Tribunal for the Crime of Aggression.",202407,51320,"Labour Party","51320_202407_1104"
"2683",51,"United Kingdom",1105,"We will work with our allies to enable the seizure and repurposing of frozen Russian state assets to support Ukraine.",202407,51320,"Labour Party","51320_202407_1105"
"2684",51,"United Kingdom",1106,"And we will play a leading role in providing Ukraine with a clear path to NATO membership.",202407,51320,"Labour Party","51320_202407_1106"
"2685",51,"United Kingdom",1107,"Labour will also work with our allies and international financial centres to tackle corruption and money laundering, including in Britain, Crown Dependencies, and in British Overseas Territories.",202407,51320,"Labour Party","51320_202407_1107"
"2686",51,"United Kingdom",1108,"Labour is fully committed to AUKUS, the trilateral security partnership with Australia and the United States.",202407,51320,"Labour Party","51320_202407_1108"
"2687",51,"United Kingdom",1109,"We will ensure it delivers its full economic as well as security potential, increasing jobs and investment in communities across the UK.",202407,51320,"Labour Party","51320_202407_1109"
"2688",51,"United Kingdom",1110,"After 14 years of damaging Conservative inconsistency over China, Labour will bring a long- term and strategic approach to managing our relations.",202407,51320,"Labour Party","51320_202407_1110"
"2689",51,"United Kingdom",1111,"We will co-operate where we can, compete where we need to, and challenge where we must.",202407,51320,"Labour Party","51320_202407_1111"
